0,timestamp,marker_time
-44.0,616186.1732375,2025-04-22 11:40:30.159711
-339.0,616186.173254,2025-04-22 11:40:30.159711
-400.0,616186.1732584,2025-04-22 11:40:30.159711
-151.0,616186.1732626,2025-04-22 11:40:30.159711
-267.0,616186.1732667,2025-04-22 11:40:30.159711
-656.0,616186.173271,2025-04-22 11:40:30.159711
-307.0,616186.1732758,2025-04-22 11:40:30.159711
88.0,616186.1732805,2025-04-22 11:40:30.159711
-97.0,616186.1732855,2025-04-22 11:40:30.159711
-367.0,616186.1732901,2025-04-22 11:40:30.159711
-265.0,616186.1732942,2025-04-22 11:40:30.159711
125.0,616186.1732986,2025-04-22 11:40:30.159711
109.0,616186.1733033,2025-04-22 11:40:30.159711
-642.0,616186.1733079,2025-04-22 11:40:30.159711
-1182.0,616186.1733122,2025-04-22 11:40:30.159711
-481.0,616186.173316,2025-04-22 11:40:30.159711
144.0,616186.1733197,2025-04-22 11:40:30.159711
-90.0,616186.173324,2025-04-22 11:40:30.159711
-109.0,616186.1733286,2025-04-22 11:40:30.159711
288.0,616186.1733327,2025-04-22 11:40:30.159711
532.0,616186.1733373,2025-04-22 11:40:30.161159
414.0,616186.173342,2025-04-22 11:40:30.161159
-100.0,616186.173347,2025-04-22 11:40:30.161159
-118.0,616186.1733571,2025-04-22 11:40:30.161159
83.0,616186.173362,2025-04-22 11:40:30.161159
-211.0,616186.1733659,2025-04-22 11:40:30.161159
-351.0,616186.1733699,2025-04-22 11:40:30.161159
-321.0,616186.1733748,2025-04-22 11:40:30.161159
-244.0,616186.1733795,2025-04-22 11:40:30.161159
-65.0,616186.1733839,2025-04-22 11:40:30.161159
18.0,616186.1733882,2025-04-22 11:40:30.161159
-186.0,616186.173393,2025-04-22 11:40:30.161159
-214.0,616186.1733973,2025-04-22 11:40:30.161159
-134.0,616186.1734013,2025-04-22 11:40:30.161159
-167.0,616186.173405,2025-04-22 11:40:30.161159
0.0,616186.1734098,2025-04-22 11:40:30.161159
144.0,616186.1734155,2025-04-22 11:40:30.161159
60.0,616186.1734232,2025-04-22 11:40:30.161159
130.0,616186.1734281,2025-04-22 11:40:30.161159
225.0,616186.1734326,2025-04-22 11:40:30.161159
86.0,616186.1734367,2025-04-22 11:40:30.161159
239.0,616186.1734403,2025-04-22 11:40:30.161159
442.0,616186.1734444,2025-04-22 11:40:30.161159
137.0,616186.1734488,2025-04-22 11:40:30.161159
-912.0,616186.1734531,2025-04-22 11:40:30.161159
-2241.0,616186.1734613,2025-04-22 11:40:30.161159
-2548.0,616186.1734667,2025-04-22 11:40:30.161159
-1433.0,616186.1734741,2025-04-22 11:40:30.161159
-60.0,616186.1734789,2025-04-22 11:40:30.161159
535.0,616186.1734828,2025-04-22 11:40:30.162351
107.0,616186.1734865,2025-04-22 11:40:30.162351
-216.0,616186.1734913,2025-04-22 11:40:30.162351
293.0,616186.1734993,2025-04-22 11:40:30.162351
546.0,616186.1735039,2025-04-22 11:40:30.162351
356.0,616186.1735088,2025-04-22 11:40:30.162351
235.0,616186.1735132,2025-04-22 11:40:30.162351
165.0,616186.173517,2025-04-22 11:40:30.162351
-86.0,616186.1735206,2025-04-22 11:40:30.162351
-109.0,616186.1735247,2025-04-22 11:40:30.162351
-279.0,616186.1735292,2025-04-22 11:40:30.162351
-609.0,616186.1735334,2025-04-22 11:40:30.163656
-605.0,616186.1735409,2025-04-22 11:40:30.163656
-802.0,616186.1735462,2025-04-22 11:40:30.163656
-865.0,616186.1735534,2025-04-22 11:40:30.163656
-393.0,616186.1735581,2025-04-22 11:40:30.163656
-200.0,616186.1736603,2025-04-22 11:40:30.163656
-614.0,616186.1736745,2025-04-22 11:40:30.163656
-884.0,616186.1736861,2025-04-22 11:40:30.163656
-677.0,616186.173699,2025-04-22 11:40:30.163656
-118.0,616186.1737119,2025-04-22 11:40:30.165018
79.0,616186.1737244,2025-04-22 11:40:30.165018
-116.0,616186.1737368,2025-04-22 11:40:30.165018
-83.0,616186.1737492,2025-04-22 11:40:30.165018
-39.0,616186.7131343,2025-04-22 11:40:30.699786
